symbol,last_updated,country,region,name,exchange,currency,data_source,industry,sector,market_cap,revenue,profit_margin,operating_margin,return_on_equity,return_on_assets,forward_pe,trailing_pe,price_to_sales,price_to_book,enterprise_value,employees,website,revenue_annual,operating_income,net_income,ebitda,gross_profit,fiscal_year_end,total_assets,total_debt,total_equity,cash,current_assets,current_liabilities,current_ratio,completeness_score
INHG,2025-03-21T10:55:17.448556,Germany,Europe,Indus AG,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
METSA,2025-03-21T10:55:17.525453,Finland,Europe,Metsa Board Oyj A,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
MLSKN,2025-03-21T10:55:17.525453,France,Europe,Microskin,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
SGCO,2025-03-21T10:55:17.601530,Italy,Europe,Sg Company,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
ITM,2025-03-21T10:55:17.601530,United Kingdom,Europe,ITM Power,Unknown,GBP,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
EEPC,2025-03-21T10:55:17.616772,France,Europe,Explosifs Prod Chimiques,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
MRCM,2025-03-21T10:55:17.664357,United Kingdom,Europe,Mercantile Investment Trust,Unknown,GBP,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
SBS,2025-03-21T10:55:17.696329,Denmark,Europe,SBS,Unknown,DKK,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
SDTC,2025-03-21T10:55:17.727275,France,Europe,Soditech Ingenierie,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
LEOV,2025-03-21T10:55:17.821856,Sweden,Europe,LeoVegas,Unknown,SEK,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
PFE,2025-03-21T10:55:17.837361,Austria,Europe,Pfizer,Unknown,CHF,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
CYH,2025-03-21T10:55:17.884710,Germany,Europe,Community Health Systems,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
NUOG,2025-03-21T10:55:17.916750,United Kingdom,Europe,Nu-Oil and Gas,Unknown,GBP,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
SBX-ME,2025-03-21T10:55:17.916750,Norway,Europe,SeaBird Exploration,Unknown,NOK,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
0JSJ,2025-03-21T10:55:18.011223,United Kingdom,Europe,LKQ,Unknown,USD,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
GPRO,2025-03-21T10:55:18.043002,Austria,Europe,GoPro Inc,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
CLNKb,2025-03-21T10:55:18.089439,Sweden,Europe,Cellink,Unknown,SEK,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
EDF,2025-03-21T10:55:18.168267,France,Europe,Electricite de France,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
BRDY,2025-03-21T10:55:18.184287,United Kingdom,Europe,Brady,Unknown,GBP,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
COMAE,2025-03-21T10:55:18.199940,Portugal,Europe,Compta,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
LHAG,2025-03-21T10:55:18.215964,Italy,Europe,Lufthansa,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
VOLO,2025-03-21T10:55:18.247983,Sweden,Europe,Volati,Unknown,SEK,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
