symbol,name,country,exchange,currency,data_source
APF,Anglo Pacific,United Kingdom,Unknown,GBP,investpy
KCOM,Kcom Group,United Kingdom,Unknown,GBP,investpy
OXIG,Oxford Instruments,United Kingdom,Unknown,GBP,investpy
PNL,Personal Assets,United Kingdom,Unknown,GBP,investpy
CCEPC,Coca-Cola European,United Kingdom,Unknown,EUR,investpy
PTR,PetroNeft,United Kingdom,Unknown,GBP,investpy
MCMM,MC Mining,United Kingdom,Unknown,GBP,investpy
FDI,Firestone,United Kingdom,Unknown,GBP,investpy
ALTNA,Altyn,United Kingdom,Unknown,GBP,investpy
MGAMM,Morgan Materials,United Kingdom,Unknown,GBP,investpy
0K34,Monster Beverage,United Kingdom,Unknown,USD,investpy
0QYR,Panasonic,United Kingdom,Unknown,JPY,investpy
PGD,Patagonia Gold,United Kingdom,Unknown,GBP,investpy
ASOA,Avesoro Resources,United Kingdom,Unknown,GBP,investpy
AVM,Avocet Mining,United Kingdom,Unknown,GBP,investpy
PXSP,Provexis,United Kingdom,Unknown,GBP,investpy
0N7L,Carraro,United Kingdom,Unknown,EUR,investpy
0RIH,Alphabet A,United Kingdom,Unknown,USD,investpy
TUIT,Tui,United Kingdom,Unknown,GBP,investpy
DCC,DCC,United Kingdom,Unknown,GBP,investpy
CBRO,Close Brothers,United Kingdom,Unknown,GBP,investpy
GMRG,Gaming Realms,United Kingdom,Unknown,GBP,investpy
YNGa,Young & Co’s Brewery A,United Kingdom,Unknown,GBP,investpy
0QYC,First Majestic Silver,United Kingdom,Unknown,CAD,investpy
0R0J,Zynga,United Kingdom,Unknown,USD,investpy
CODC,Saint Gobain,United Kingdom,Unknown,EUR,investpy
BVAB,BBVA,United Kingdom,Unknown,EUR,investpy
0TDE,Telefonica,United Kingdom,Unknown,EUR,investpy
BNC,Santander,United Kingdom,Unknown,GBP,investpy
JARB,Jardine Matheson,United Kingdom,Unknown,USD,investpy
OEX,Oilex,United Kingdom,Unknown,GBP,investpy
BKY,Berkeley Energy,United Kingdom,Unknown,GBP,investpy
WJA,Wameja,United Kingdom,Unknown,GBP,investpy
OMIN,Orosur Mining Inc,United Kingdom,Unknown,GBP,investpy
CBUY,Cloudbuy PLC,United Kingdom,Unknown,GBP,investpy
CALq,Caledonia Mining,United Kingdom,Unknown,GBP,investpy
EUZ,Europa Metals,United Kingdom,Unknown,GBP,investpy
GBPq,Global Petroleum,United Kingdom,Unknown,GBP,investpy
RMPq,Red Emperor Resources,United Kingdom,Unknown,GBP,investpy
SGZ,Scotgold Resources,United Kingdom,Unknown,GBP,investpy
88E,88 Energy,United Kingdom,Unknown,GBP,investpy
WEN,Wentworth,United Kingdom,Unknown,GBP,investpy
SO4,Salt Lake Potash,United Kingdom,Unknown,GBP,investpy
CARRC,Carr’s Group,United Kingdom,Unknown,GBP,investpy
AGOL,Ashmore Global Opp,United Kingdom,Unknown,GBP,investpy
PACL,Pacific Alliance China,United Kingdom,Unknown,USD,investpy
VOF,Vinacapital Vietnam,United Kingdom,Unknown,GBP,investpy
PMEA,PME African,United Kingdom,Unknown,USD,investpy
KUBCq,Kubera,United Kingdom,Unknown,USD,investpy
AOF,Africa Opportunity,United Kingdom,Unknown,USD,investpy
OPPPp,Origo PRF,United Kingdom,Unknown,USD,investpy
VNHq,VietNam Holding,United Kingdom,Unknown,USD,investpy
TAU,Tau Capital,United Kingdom,Unknown,USD,investpy
